"","3093HepFr","Gran532","3082Cit4C","NKpan1879","3045EDTAFr","NK8m2626","3021Cit4C","Tpan1754","3159EDTAFr","Th1702","Tc2615","NK16p2288","3082EDTARt","3676","2290","3045Cit4C","B1869","3451","Mono1972","3045EDTARt","NK8p2620","3675","3021CitFr","NKpan2241","Neut1148","Baso1832","Tc2637","3045EDTA4C","NKT2574","NK8m2299","2745","3696","3177EDTA80","Neut1145","3619","NK16p2590","3021EDTAFr","3082Cit80","3177HepFr","Mono1775","NK8p2621","3159HepFr","3268","3082EDTA4C","B2005","3159Hep80","NK16p2594","NKT2584","3177EDTAFr","Bpen","Treg2169","3093EDTA80","3159Hep4C","3093Hep80","3272","3082EDTA80","3177Cit80","B1681","3019","NK16m2608","2563","3082Hep80","NK16m2640","3093CitFr","Baso2477","Gpen","3045CitRt","Th2535","3093EDTAFr","Th1831","3093Cit80","Baso1915","3169","3159EDTARt","3093EDTARt","Th2611","NKT2613","NK8p2619","NKpan1850","NK16m2606","NK16m2578","Th2546","3021EDTA4C","Eos2272","3289","Tc1547","3082CitFr","NK16p2297","3159CitFr","3082EDTAFr","3045HepRt","3159Cit4C","NK8m4229","Baso1889","Eos2063","3021Hep80","3697","Gran1146","3682","3021HepRt","2120","STpen","3357","Treg2169","Gosis","3177CitFr","Treg1782","3685","3045HepFr","Tpan2294","NK8m2641","3221","3093HepRt","Tc2636","2367","3082Hep4C","Tpan1779","NormMix","3177Hep80","Mosis","3177HepRt","Neut2270","3045Cit80","2130","3045EDTA80","B1690","Neut0612","Tpan1612","3021CitRt","2806","Eos2275","NKT2572","Neut1147","Mono2639","3177EDTA4C","B1877","3021Cit80","3159EDTA80","3045CitFr","3396","NK8p2623","NKT2616","2570","3398","3159HepRt","2240","3699","3045Hep80","MTpen","3234","NKpan1869","3177CitRt","Gran1149","NK8m2631","3082HepRt","3177EDTARt","Tc2007","3159CitRt","Mono1993","3093Cit4C","Eos2042","3093CitRt","NKpan2510","3266","Gran1150","3021EDTA80","Baso2492","NK8p2614","3159EDTA4C","NK16m2577","3177Hep4C","Tpan1795","3305","3045Hep4C","Mono1827","2899","3021HepFr","NKpan2503","3159Cit80","3021Hep4C","3093EDTA4C","3082HepFr","3566","Gran2271","2016","3386","3177Cit4C","3021EDTARt","3093Hep4C","NK16p2589","3082CitRt","Treg2280"
"cd3zDMR",0.9096447,0.9833683,0.9502797,0.07668017,0.9566817,0.1464511,0.9109046,0.0399729,0.9512712,0.05914558,0.0317173,0.05160413,0.9424877,0.9458927,0.9697443,0.9563627,0.9856259,0.9807786,0.9881371,0.9528931,0.08709705,0.8455697,0.8980626,0.1281299,0.9867207,0.9861098,0.04646451,0.9563647,0.2040848,0.4322766,0.9832404,0.9643221,0.8732527,0.9884325,0.9485044,0.05741414,0.9100789,0.9475998,0.868219,0.9844358,0.1675873,0.9537162,0.9563562,0.9416882,0.9850639,0.9420684,0.0542236,0.4719236,0.9053922,0.9456502,0.1304661,0.9104483,0.9564059,0.8892756,0.9705297,0.9381549,0.8879946,0.9880052,0.9538444,0.8419526,0.9771746,0.9456242,0.8964453,0.9054422,0.9862633,0.8487879,0.9532748,0.05151859,0.9181467,0.06269164,0.9126334,0.9871834,0.9476333,0.9511132,0.8753924,0.07326925,0.2008999,0.1319501,0.1582309,0.8551422,0.8954586,0.09330838,0.9151219,0.988152,0.9760068,0.1395593,0.9527131,0.05922948,0.9366891,0.9294541,0.9488243,0.9532174,0.1752893,0.9798859,0.9887241,0.9156214,0.9290391,0.9890549,0.9584221,0.8927752,0.9791133,0.9752893,0.9732613,0.07762294,0.9768462,0.8934665,0.05775112,0.9559953,0.9597277,0.06122258,0.475556,0.9669634,0.8904699,0.04489199,0.9835878,0.9302363,0.04948692,0.9550128,0.8677411,0.9705729,0.8773752,0.9887729,0.9562178,0.9660766,0.9615468,0.9860959,0.9884924,0.2166847,0.913308,0.9809799,0.9896265,0.1739142,0.988207,0.9875962,0.8801143,0.9834586,0.9092802,0.9545388,0.9571643,0.8069136,0.2321697,0.06000702,0.9471759,0.9547538,0.9492226,0.9643382,0.963557,0.9512016,0.9727857,0.976025,0.2442071,0.8888072,0.9894745,0.3260131,0.9328697,0.8647168,0.06331319,0.9508016,0.9884187,0.901112,0.9888043,0.888171,0.1670275,0.9695892,0.9898701,0.9198062,0.9888693,0.1303053,0.9574765,0.9148558,0.8797435,0.05776699,0.9441295,0.9544597,0.9894167,0.9461503,0.8938428,0.1101167,0.9550499,0.8876865,0.8926456,0.9227139,0.930779,0.966301,0.9757082,0.9602563,0.865304,0.8647746,0.8831298,0.1054949,0.9358902,0.0406293
"foxp3DMR1in",0.9630203,0.9778094,0.9678525,0.969133,0.9654297,0.9544334,0.9606714,0.8878467,0.9683186,0.9443454,0.9596817,0.9768105,0.9670109,0.96912,0.9667031,0.9610577,0.9551788,0.9809402,0.9786192,0.9632514,0.9620449,0.9569146,0.9638137,0.9662073,0.9782192,0.9760435,0.964545,0.9650381,0.9484318,0.9667649,0.9763879,0.9701585,0.9603012,0.9796507,0.973619,0.950975,0.9564256,0.9670427,0.9640333,0.9775152,0.9527588,0.9704621,0.9671789,0.9642091,0.9689773,0.96606,0.9692257,0.9517708,0.9657906,0.9649563,0.6597641,0.9595538,0.9698243,0.9632493,0.9674124,0.9667773,0.9614425,0.9629328,0.9735259,0.9630193,0.9757153,0.9662473,0.9725913,0.962415,0.9703808,0.9470885,0.9635043,0.9253085,0.9633279,0.9316184,0.9648158,0.9738271,0.9733315,0.9681733,0.9648142,0.9043774,0.8989871,0.9594249,0.9562896,0.9706993,0.9726775,0.9189101,0.9644683,0.9740452,0.9730892,0.9429479,0.970948,0.9664644,0.9649481,0.9629243,0.9595353,0.9692684,0.9598226,0.9658259,0.9769046,0.9652794,0.9562681,0.9793711,0.9720836,0.9539378,0.9739175,0.9727641,0.9786285,0.6071916,0.9721265,0.962974,0.4787208,0.9730949,0.9723303,0.9555456,0.9525191,0.9689762,0.9668903,0.965106,0.980535,0.9737203,0.9558182,0.9690061,0.9717089,0.9727438,0.962714,0.9818616,0.9696063,0.9699465,0.9719206,0.9737648,0.9785013,0.9454416,0.957091,0.9762027,0.9812062,0.9589038,0.9759794,0.9785462,0.9626698,0.9678531,0.9547287,0.9693951,0.9664971,0.9266543,0.9714405,0.9141284,0.9582191,0.9700019,0.9684562,0.9719691,0.975521,0.9560596,0.9632376,0.9539161,0.9497911,0.9605983,0.9831352,0.9668401,0.9664906,0.9603124,0.9593807,0.9644396,0.9777479,0.9673684,0.9755732,0.9571422,0.9742018,0.9655254,0.983631,0.9615861,0.9765153,0.9719365,0.9711127,0.9762249,0.9681773,0.9458892,0.9663384,0.965095,0.976101,0.9736866,0.9585819,0.9744487,0.9736409,0.9689841,0.9654346,0.9647936,0.9661036,0.9388733,0.9648714,0.9709187,0.9646223,0.9400364,0.9651617,0.9663616,0.9712324,0.6671574
"foxp3DMRpro",0.9158652,0.9595407,0.8610248,0.8354937,0.9487602,0.7619559,0.8549173,0.7883041,0.9282103,0.6969256,0.7901459,0.8723533,0.9110748,0.9148138,0.9121801,0.9542843,0.9712976,0.97119,0.9662849,0.9492989,0.8335122,0.9231551,0.8980899,0.8805617,0.9582339,0.8765779,0.788075,0.9500336,0.5607767,0.9402953,0.9493457,0.929704,0.8777019,0.9351718,0.9610415,0.9178597,0.8698684,0.9181849,0.8849795,0.9339074,0.8314151,0.9339493,0.9412138,0.8840773,0.9458133,0.9239206,0.8482848,0.7929357,0.8731011,0.9557052,0.437166,0.8897921,0.9345177,0.8912587,0.9452212,0.9094952,0.8844667,0.9669139,0.9237628,0.9556941,0.9395241,0.9206917,0.9490954,0.8962782,0.9150317,0.9310595,0.9499737,0.6841715,0.8996845,0.6978542,0.9070748,0.8881676,0.9012613,0.9078352,0.8937521,0.649789,0.7190109,0.8449377,0.9388202,0.9250579,0.9363877,0.5736679,0.8895192,0.684661,0.9457869,0.8543555,0.9412215,0.7678719,0.9247604,0.8836141,0.9509829,0.9260579,0.8670531,0.8295485,0.579507,0.8712745,0.9555678,0.9671395,0.959633,0.8647157,0.9696413,0.9714457,0.9128472,0.4393741,0.9693382,0.8614259,0.2321364,0.9240491,0.9542697,0.7503721,0.9200382,0.9354542,0.8974637,0.7961611,0.95331,0.9362867,0.9155346,0.9568127,0.8979434,0.9641919,0.8963524,0.9652963,0.9535517,0.9186051,0.9570524,0.9652569,0.9595132,0.7757356,0.8830456,0.9542958,0.5302817,0.5766234,0.9741049,0.9719957,0.8876392,0.9696418,0.9013875,0.9373782,0.9590889,0.8678256,0.8650319,0.7887095,0.928831,0.9412274,0.9315428,0.9621477,0.9227996,0.9514566,0.9671659,0.9646197,0.9065644,0.8996974,0.9682088,0.8793864,0.9234161,0.8841534,0.4025576,0.9181473,0.9709072,0.9107639,0.8988344,0.8940173,0.8416119,0.9443971,0.965311,0.9065428,0.925544,0.8499852,0.9269375,0.9486677,0.8811783,0.7275523,0.9497316,0.9536963,0.9751894,0.9150119,0.8897464,0.8222803,0.9184771,0.8882388,0.9100438,0.8940513,0.9153411,0.9112415,0.9482654,0.8444275,0.8954502,0.8765657,0.9161639,0.8441573,0.9243727,0.3651468
"cg00071250",0.4021546,0.8889635,0.6091176,0.02214425,0.6586813,0.02775102,0.3860286,0.02613933,0.6906624,0.02912213,0.04893545,0.02472906,0.5260809,0.633315,0.7528479,0.6740739,0.5649902,0.8453412,0.9186707,0.5821668,0.02455557,0.3128988,0.4750846,0.02012116,0.9231689,0.8625889,0.05109324,0.6402696,0.04449136,0.03261176,0.9081928,0.7040677,0.3305411,0.935236,0.6488237,0.0254348,0.4222502,0.5551289,0.3341322,0.9035581,0.02485812,0.6765859,0.4820541,0.5547397,0.6090621,0.5716498,0.01569927,0.09229683,0.4127469,0.5889108,0.04564949,0.4125381,0.6623051,0.3743855,0.8003937,0.5550817,0.3584166,0.6902879,0.600187,0.07858013,0.8330359,0.5156216,0.05361131,0.4454482,0.9080881,0.3258317,0.6473866,0.02982409,0.4090602,0.0282694,0.4176658,0.9090382,0.5780647,0.6122168,0.3657234,0.03769106,0.05055287,0.02362379,0.03572464,0.05314247,0.04146832,0.0326131,0.4613991,0.9383327,0.8017623,0.05174991,0.669286,0.02317972,0.6373199,0.5625825,0.6431593,0.6788459,0.03542459,0.9054658,0.9504516,0.4287746,0.5732399,0.938054,0.6834877,0.4018734,0.8535725,0.8287682,0.8586242,0.03192354,0.8102296,0.3785769,0.03780349,0.6937671,0.6672497,0.03436779,0.06011336,0.7273216,0.3684078,0.03951082,0.8789423,0.5641518,0.06008834,0.6871908,0.4293127,0.7434587,0.3206682,0.9317779,0.6565397,0.6979594,0.6233579,0.7065945,0.95015,0.06512823,0.4720172,0.8721495,0.9442996,0.03060158,0.9350139,0.9103619,0.3749658,0.743137,0.4368609,0.655254,0.6897244,0.3488092,0.02511167,0.02044587,0.6609415,0.67359,0.5962638,0.7194555,0.7639679,0.6591876,0.7902368,0.8522015,0.05026802,0.371987,0.9486104,0.04274008,0.5631434,0.3565592,0.02515266,0.639948,0.9009258,0.4537077,0.9375659,0.4055748,0.02173139,0.7621697,0.9356912,0.4762155,0.9221449,0.01844889,0.6691198,0.04294224,0.3651532,0.04179839,0.5591254,0.6730727,0.9272178,0.6234556,0.4418441,0.02854426,0.6767207,0.5295218,0.4260412,0.6021512,0.6118577,0.8409235,0.8234806,0.7248193,0.3683907,0.4046768,0.4841306,0.0335343,0.5916207,0.03105151
"cg00226923",0.9537389,0.9762617,0.952603,0.9614251,0.960471,0.9612711,0.9451222,0.9607402,0.9545825,0.9686149,0.9665443,0.9724423,0.9658477,0.9651366,0.9696264,0.95894,0.0397161,0.9680794,0.9733847,0.958549,0.9614398,0.9276226,0.9495286,0.9734238,0.9748271,0.9748221,0.9630276,0.9602078,0.959242,0.9720684,0.9738639,0.9705551,0.9441063,0.9732629,0.9654565,0.9716515,0.9519219,0.9651625,0.9566649,0.9539344,0.9591099,0.9572737,0.9289904,0.9548158,0.05192189,0.9601309,0.972887,0.9400305,0.9515599,0.963389,0.9637835,0.9495267,0.9575343,0.9435843,0.9649061,0.9637206,0.9467826,0.1038539,0.9618662,0.9666942,0.9711653,0.9640582,0.9727948,0.9510188,0.9731643,0.9051619,0.9584355,0.9626889,0.953639,0.9658569,0.9549615,0.9760667,0.9637522,0.9554073,0.9507304,0.9613931,0.9449002,0.9629003,0.9622828,0.9680439,0.973321,0.9526555,0.9539084,0.9747546,0.9736437,0.9557825,0.9711395,0.9571771,0.959461,0.95243,0.9582743,0.9582573,0.9663574,0.9378817,0.9789939,0.9493281,0.9571269,0.9801129,0.9638782,0.9493029,0.9759942,0.9642012,0.9713609,0.9694494,0.9761588,0.9415953,0.9718794,0.967506,0.9685232,0.9677871,0.9645337,0.9668725,0.958272,0.9640118,0.9766211,0.9683559,0.9649989,0.968053,0.9588512,0.9722592,0.9513273,0.980113,0.9664989,0.9620216,0.9678925,0.04336463,0.9789458,0.9379201,0.9569698,0.9751908,0.9810086,0.9599654,0.9786353,0.9757605,0.9588512,0.0952112,0.952673,0.966171,0.9641274,0.8173888,0.9743435,0.9559308,0.9683781,0.9730021,0.9643969,0.9669995,0.9701346,0.9663945,0.9690484,0.9674774,0.9570438,0.9532245,0.9795183,0.9573253,0.9674707,0.9568303,0.9651887,0.9628404,0.9782068,0.9580438,0.9802412,0.9574828,0.9696563,0.9699605,0.9805692,0.951741,0.9806631,0.9711972,0.9651647,0.9722986,0.9476583,0.9679641,0.9665517,0.9637458,0.9794888,0.9632345,0.9489144,0.977069,0.9622435,0.9492905,0.9589099,0.9670408,0.9682602,0.9382821,0.9760985,0.9301312,0.9490117,0.9451086,0.9558001,0.9675636,0.967182,0.9653823
"cg00431549",0.0541003,0.02627565,0.05395693,0.02372228,0.04670098,0.02773608,0.05125563,0.09896628,0.05510106,0.1083799,0.1002254,0.02395574,0.04857791,0.05294763,0.03870531,0.04075029,0.03482173,0.04322597,0.02546758,0.0456772,0.02680393,0.07013081,0.04964113,0.02250271,0.02633194,0.02627503,0.06840222,0.04594127,0.06250031,0.03206336,0.03392104,0.05363563,0.06762717,0.02076074,0.09859095,0.02737967,0.05587468,0.04971358,0.06271294,0.03174765,0.03373315,0.05307572,0.05451557,0.04471464,0.03658958,0.01901214,0.01649839,0.09068847,0.08929321,0.04548646,0.1269259,0.05509254,0.04512935,0.05995958,0.0421303,0.05703061,0.07239518,0.03133047,0.05112003,0.02318116,0.03564042,0.05078171,0.02428421,0.05563401,0.02932012,0.07174834,0.04567093,0.1633292,0.06905482,0.1150225,0.05369718,0.02263995,0.03866212,0.05344252,0.06275136,0.1355821,0.05872796,0.02757826,0.04267262,0.02695595,0.02400924,0.1109442,0.06537163,0.02220199,0.03993158,0.06644055,0.05840429,0.02720257,0.04785869,0.05160032,0.05052625,0.05040377,0.03128843,0.0440691,0.02160474,0.05358495,0.07548478,0.02293984,0.04285259,0.05628135,0.03703523,0.02748791,0.02707225,0.1457159,0.03808226,0.05531422,0.1534931,0.03206939,0.03803523,0.09365207,0.02923747,0.04238234,0.04908402,0.059867,0.02670157,0.04156486,0.09290984,0.04503085,0.06162111,0.04292489,0.05797863,0.02053859,0.04527181,0.03751053,0.03990468,0.03813864,0.02698312,0.08601698,0.06682413,0.03242184,0.02241723,0.04903606,0.0195801,0.02453907,0.05483854,0.03899695,0.04041122,0.03365293,0.04315045,0.02898276,0.02103747,0.03553232,0.02934246,0.03892686,0.04689172,0.0418028,0.03273773,0.03959137,0.03820157,0.02750568,0.0316593,0.08333172,0.0302361,0.02248092,0.05502513,0.08155476,0.05419996,0.04551766,0.02341877,0.0637688,0.02285941,0.04817774,0.02379849,0.0408083,0.02444386,0.04469439,0.02678112,0.01913987,0.03825681,0.02238373,0.06224787,0.08762413,0.04324982,0.04334203,0.02643493,0.05130804,0.03222831,0.02731013,0.03163351,0.03885334,0.05591172,0.04013792,0.05599101,0.02611514,0.03304264,0.03111551,0.05643434,0.04257694,0.04586613,0.02303704,0.04305928,0.1227708
"cg00491404",0.7802681,0.9014148,0.8241938,0.2505988,0.8184913,0.2141113,0.7535402,0.5390971,0.8302872,0.7677794,0.743392,0.2804533,0.8031601,0.7578893,0.8161575,0.7845039,0.759183,0.8779455,0.8881513,0.8061978,0.2477352,0.6419695,0.724061,0.2540695,0.8594123,0.8553384,0.7026792,0.8208466,0.5150769,0.2163383,0.8923699,0.7972394,0.7910064,0.8897674,0.8238393,0.2740578,0.7308988,0.8191516,0.7820398,0.7590203,0.2538631,0.8359743,0.7709044,0.8141764,0.7955727,0.8582832,0.2390448,0.7261052,0.7862486,0.8476144,0.6996567,0.7739319,0.8258727,0.7573975,0.8573864,0.8373923,0.7976837,0.8176887,0.7594224,0.102761,0.8470303,0.8178282,0.1283142,0.7422196,0.8694383,0.7475234,0.7883482,0.7173716,0.7955074,0.7726682,0.7895981,0.85184,0.8169715,0.8259767,0.7867262,0.6100427,0.3488327,0.198577,0.2330914,0.08443987,0.1027104,0.6099848,0.7684519,0.7516456,0.8359011,0.562017,0.8806222,0.2344429,0.7970535,0.7950007,0.8171024,0.8290577,0.2682523,0.7955924,0.8403966,0.7219366,0.746462,0.8891456,0.8595802,0.6843331,0.8433312,0.8174554,0.8209664,0.6056831,0.8544431,0.7524512,0.6738099,0.7326599,0.8143817,0.7203194,0.2566512,0.7737893,0.7313327,0.6504431,0.843914,0.811301,0.6825672,0.8562989,0.756883,0.873048,0.7513373,0.8839337,0.8062409,0.7771977,0.8453765,0.7845518,0.8665393,0.6716068,0.7268592,0.8515257,0.8593625,0.5103185,0.8523668,0.876325,0.7722059,0.7806859,0.6787272,0.8497878,0.8090189,0.5478507,0.2019677,0.3824868,0.8228633,0.7749293,0.8026736,0.8411725,0.751807,0.8180657,0.8475568,0.8305474,0.2329922,0.7787785,0.8946742,0.2171223,0.793348,0.7432779,0.4365586,0.8045676,0.854705,0.7512697,0.8249112,0.7258139,0.1874146,0.8534151,0.8811534,0.6907992,0.8674906,0.2041804,0.768456,0.1558515,0.7453614,0.6441953,0.7417956,0.7820987,0.8354806,0.8085271,0.6858262,0.2433378,0.822612,0.6589035,0.797621,0.7971341,0.7282667,0.7776604,0.798106,0.7290139,0.7238694,0.5762808,0.728937,0.2462949,0.7904276,0.6156527
"cg00546897",0.8558544,0.514088,0.71321,0.9591346,0.7317927,0.9626504,0.6685734,0.9631788,0.7621922,0.9717607,0.972932,0.9748421,0.7325531,0.7886721,0.7389153,0.6651739,0.9489295,0.345017,0.08093137,0.7021316,0.9634159,0.8711653,0.8034229,0.9749876,0.5866311,0.9647055,0.9696873,0.737235,0.9498641,0.9705579,0.4090764,0.74465,0.8806418,0.6266434,0.825423,0.9749987,0.8086922,0.7399529,0.8722854,0.2341212,0.9584789,0.7551665,0.7801331,0.7606051,0.9394534,0.7943154,0.9600019,0.9571422,0.8743282,0.6754485,0.9664659,0.8556118,0.7913846,0.8527259,0.6047416,0.7507294,0.8766722,0.9628063,0.7667909,0.9667947,0.5527803,0.7117682,0.9645821,0.8624579,0.9513335,0.8566651,0.6368735,0.9675651,0.8528587,0.9720222,0.8747637,0.9613037,0.62174,0.8095149,0.8721702,0.966166,0.9534208,0.9577707,0.9569336,0.969883,0.9628071,0.9504427,0.815803,0.922111,0.5839078,0.9635682,0.8207613,0.9668998,0.7246022,0.7409883,0.648214,0.7318118,0.9536561,0.9617264,0.9216844,0.7960527,0.8170815,0.5698962,0.7709492,0.8254034,0.5123613,0.6391143,0.4457107,0.9701698,0.6680402,0.839021,0.9767413,0.6582456,0.7027333,0.9779173,0.9615791,0.7358218,0.8681545,0.9737902,0.3204849,0.7575097,0.9742429,0.6852264,0.895112,0.5884745,0.8850816,0.6499543,0.6872258,0.7094674,0.7568789,0.9556764,0.2386178,0.9673803,0.7877221,0.7901235,0.962074,0.9641569,0.479495,0.111436,0.8740337,0.9127972,0.7512313,0.7033045,0.6927524,0.6767764,0.9662055,0.9670653,0.7402863,0.6999937,0.8001109,0.6829893,0.6980911,0.6841773,0.6950597,0.5680056,0.9434608,0.8802912,0.6376861,0.9235844,0.8124663,0.8750052,0.9609266,0.6663381,0.2218071,0.8477606,0.9686177,0.8228896,0.9667691,0.557018,0.4979846,0.791041,0.9562118,0.9673985,0.7671553,0.9645644,0.866371,0.9663203,0.834497,0.7022406,0.04274666,0.7915638,0.7603753,0.8888048,0.7195145,0.800971,0.8502563,0.7204662,0.649435,0.3983203,0.4445535,0.541951,0.8435838,0.7930278,0.8541086,0.9288027,0.7064445,0.9548038
"cg00554250",0.1291473,0.08054863,0.1021287,0.1377037,0.112523,0.1776049,0.1396058,0.2398762,0.09912917,0.1991393,0.1387827,0.1880766,0.1172211,0.1755375,0.1222374,0.1278947,0.1182113,0.1131021,0.06666539,0.1111575,0.1747138,0.2108714,0.1637955,0.1608285,0.07116804,0.1196536,0.1044394,0.1163285,0.2376881,0.1531578,0.09533063,0.1138005,0.1657828,0.07051205,0.1445139,0.2044939,0.1493929,0.1215127,0.14576,0.05376941,0.2437607,0.1094223,0.1464352,0.1290184,0.09269897,0.08858923,0.1534706,0.2028861,0.1621445,0.122621,0.2773384,0.1201534,0.1126259,0.1321929,0.1105769,0.1254231,0.1623802,0.07865762,0.1112968,0.117534,0.1129812,0.1148013,0.1350995,0.1340003,0.08109026,0.1561277,0.1222261,0.2469292,0.1369358,0.1921528,0.145107,0.07919785,0.1989758,0.114911,0.1334656,0.3154047,0.2692794,0.1161494,0.127982,0.1244909,0.1488955,0.2725587,0.1547296,0.1257001,0.1269693,0.1993345,0.1247306,0.1561721,0.1125728,0.1221907,0.1033665,0.1053201,0.1903225,0.07958081,0.191793,0.1468954,0.1659908,0.06274613,0.1453019,0.1651018,0.1136641,0.09411504,0.07024151,0.3152899,0.09239207,0.1626908,0.3196155,0.1450309,0.1146307,0.2115168,0.1598856,0.1374451,0.132798,0.1578076,0.07385547,0.1480933,0.1638866,0.128109,0.18006,0.09747307,0.158513,0.07245053,0.1244456,0.1433606,0.1406729,0.05438826,0.08703167,0.2360042,0.1645938,0.09123798,0.1761222,0.2621607,0.07198052,0.05787783,0.1825241,0.07060282,0.1593073,0.09954995,0.1073037,0.09993624,0.1461397,0.2778501,0.1588853,0.1119066,0.1090008,0.1094461,0.1689752,0.1238991,0.08269031,0.10182,0.1251994,0.1772749,0.06061746,0.1436045,0.1335548,0.1997036,0.1664783,0.113283,0.08724305,0.1638648,0.1831264,0.1348272,0.1194022,0.1241088,0.07303684,0.1605077,0.07283626,0.141385,0.1094251,0.1200271,0.1857221,0.2213308,0.2056806,0.09290994,0.06237234,0.1480655,0.1766671,0.1908764,0.104369,0.1413031,0.1377778,0.121179,0.1451668,0.07912249,0.1017397,0.07465131,0.1484404,0.1882084,0.1463499,0.1518523,0.1038882,0.3253302
"cg00620024",0.6142102,0.9004764,0.676226,0.8580766,0.7298183,0.8807524,0.6484545,0.1168249,0.7398819,0.08883067,0.2062629,0.8727616,0.6602532,0.7789233,0.8252497,0.7524877,0.8334807,0.8786964,0.9107524,0.7379197,0.8297711,0.5369394,0.6349666,0.8655648,0.9165711,0.8488156,0.1445686,0.7573857,0.3428855,0.8865442,0.8763211,0.6607773,0.5325091,0.890449,0.7148381,0.8740322,0.6850311,0.7020981,0.4941215,0.9174865,0.8482338,0.7544357,0.7620735,0.7034635,0.8221068,0.721177,0.8335699,0.1605008,0.6180494,0.6540803,0.1386709,0.5900834,0.7668548,0.5532058,0.7915183,0.6127104,0.5501375,0.8365125,0.6292802,0.8870891,0.8630387,0.662217,0.8778541,0.6040661,0.8692661,0.5387875,0.7572087,0.08694533,0.6165383,0.08534848,0.6112118,0.8949001,0.7257528,0.6925077,0.5348854,0.09375305,0.5331601,0.8605518,0.8386461,0.8197792,0.8756357,0.1232483,0.648956,0.9113936,0.8735725,0.2108289,0.5660922,0.8546547,0.7819691,0.6449147,0.7422187,0.7657683,0.8799004,0.8264691,0.910534,0.6590405,0.6842864,0.9265684,0.7402188,0.6233088,0.8855401,0.8905457,0.8124243,0.115948,0.8343683,0.5219535,0.1353276,0.7468311,0.8045141,0.1208362,0.9110284,0.7566074,0.6012971,0.2650494,0.8686798,0.6568571,0.1206446,0.7596366,0.5557393,0.7614903,0.5544314,0.9063892,0.7653159,0.7940675,0.8272978,0.8862817,0.9521556,0.1646557,0.5960193,0.887697,0.9226006,0.2912225,0.8872118,0.928997,0.5918546,0.8559656,0.6583317,0.7447029,0.73898,0.5944108,0.8661898,0.2161201,0.7456244,0.8265492,0.7287749,0.7496423,0.8531902,0.7468159,0.885933,0.8358139,0.7884452,0.5296737,0.9234666,0.8668158,0.6589592,0.4940411,0.219033,0.7389965,0.9319746,0.6058447,0.9299045,0.5846289,0.840196,0.7544846,0.9090266,0.6560914,0.9402955,0.9059095,0.765542,0.9037465,0.5116488,0.1710985,0.6771206,0.7690166,0.9353518,0.6397792,0.5146293,0.9000824,0.7992981,0.6426061,0.5986976,0.6188812,0.7311026,0.7554158,0.8705464,0.7775724,0.489448,0.6391908,0.6748752,0.8455415,0.6889882,0.095171
