PlateWell,SampleID,Details,SampleType,LabWork
P1A1,3093HepFr,"Heparin, Fresh",Profiled whole blood,Wiencke isolation 2012
P1A2,Gran532,Granulocytes,Purified WBC subtype,Wiencke isolation 2011/12
P1A3,3082Cit4C,"Citrate, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1A4,NKpan1879,Pan-NK cells,Purified WBC subtype,Wiencke isolation 2011/12
P1A5,3045EDTAFr,"EDTA, Fresh",Profiled whole blood,Wiencke isolation 2012
P1A6,NK8m2626,CD8- NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1A7,3021Cit4C,"Citrate, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1A8,Tpan1754,Pan-T cells,Purified WBC subtype,Wiencke isolation 2011/12
P1A9,3159EDTAFr,"EDTA, Fresh",Profiled whole blood,Wiencke isolation 2012
P1A10,Th1702,CD4+ T-cells,Purified WBC subtype,Wiencke isolation 2011/12
P1A11,Tc2615,CD8+ T-cells,Purified WBC subtype,Kelsey isolation 2011/12
P1A12,NK16p2288,CD16+ NK cells,Purified WBC subtype,Wiencke isolation 2011/12
P1B1,3082EDTARt,"EDTA, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P1B2,3676,COHANDS,COHANDS blood,Kelsey Extraction
P1B3,2290,COHANDS,COHANDS blood,Kelsey Extraction
P1B4,3045Cit4C,"Citrate, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1B5,B1869,B-cells,Purified WBC subtype,Wiencke isolation 2011/12
P1B6,3451,COHANDS,COHANDS blood,Kelsey Extraction
P1B7,Mono1972,Monocytes,Purified WBC subtype,Wiencke isolation 2011/12
P1B8,3045EDTARt,"EDTA, o/n at room temp",Profiled whole blood,Wiencke isolation 2012
P1B9,NK8p2620,CD8+ NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1B10,3675,COHANDS,COHANDS blood,Kelsey Extraction
P1B11,3021CitFr,"Citrate, Fresh",Profiled whole blood,Wiencke isolation 2012
P1B12,NKpan2241,Pan-NK cells,Purified WBC subtype,Kelsey isolation 2011/12
P1C1,Neut1148,Neutrophils,Purified WBC subtype,Wiencke isolation 2011/12
P1C2,Baso1832,Basophils,Purified WBC subtype,Kelsey isolation 2011/12
P1C3,Tc2637,CD8+ T-cells,Purified WBC subtype,Kelsey isolation 2011/12
P1C4,3045EDTA4C,"EDTA, o/n at 4C",Profiled whole blood,Wiencke isolation 2012
P1C5,NKT2574,NKT cells,Purified WBC subtype,Kelsey isolation 2011/12
P1C6,NK8m2299,CD8- NK cells,Purified WBC subtype,Wiencke isolation 2011/12
P1C7,2745,COHANDS,COHANDS blood,Kelsey Extraction
P1C8,3696,COHANDS,COHANDS blood,Kelsey Extraction
